subscriber_id,user_id,protocol,src_ip,src_port,post_nat_source_ip,post_nat_source_port,dest_ip,dest_port,timestamp,flow_start_time,flow_end_time,bytes_sent,bytes_received,session_id,action,application
user_1,user_1,TCP,172.16.24.93,33800,10.32.1.142,80,24.14.139.1,10710,2025-07-14 12:14:50,2025-07-14 12:14:50,2025-07-14 12:18:28,12862,12786,e674145a-48da-4dae-a0f5-bd3fe6d08a31,ALLOW,HTTPS
user_1,user_1,TCP,192.168.195.103,3826,172.30.0.205,44346,186.116.45.216,443,2025-07-14 12:11:50,2025-07-14 12:11:50,2025-07-14 12:20:34,6947,4307,e674145a-48da-4dae-a0f5-bd3fe6d08a31,ALLOW,HTTPS
user_1,user_1,UDP,192.168.17.244,51689,192.168.150.62,80,149.239.109.88,36486,2025-07-14 11:38:24,2025-07-14 11:38:24,2025-07-14 11:48:53,2876,13875,6cd20dcb-161b-44a5-858b-d40592f168c6,ALLOW,HTTP
user_1,user_1,HTTPS,172.19.145.173,25,192.168.138.112,65202,106.244.164.30,32794,2025-07-14 11:42:24,2025-07-14 11:42:24,2025-07-14 11:56:11,4680,6036,6cd20dcb-161b-44a5-858b-d40592f168c6,ALLOW,DNS
user_1,user_1,HTTPS,172.23.69.110,14392,192.168.129.127,80,178.8.39.63,5916,2025-07-14 11:44:24,2025-07-14 11:44:24,2025-07-14 11:44:44,8925,5644,6cd20dcb-161b-44a5-858b-d40592f168c6,ALLOW,HTTP
user_1,user_1,HTTP,149.5.41.194,54645,10.136.237.133,80,196.21.215.56,34744,2025-07-14 00:55:39,2025-07-14 00:55:39,2025-07-14 12:00:31,130936,122718,6cd20dcb-161b-44a5-858b-d40592f168c6,ALLOW,HTTP
user_1,user_1,TCP,172.19.245.147,8857,192.168.18.238,80,106.195.31.141,4085,2025-07-14 14:07:33,2025-07-14 14:07:33,2025-07-14 14:10:25,14250,3971,c6a456db-33a0-4e07-8fc2-2c1dba917f10,ALLOW,DNS
user_1,user_1,HTTP,220.237.234.1,60822,192.168.18.35,80,188.67.75.78,25,2025-07-14 13:03:37,2025-07-14 13:03:37,2025-07-14 14:14:40,139384,123256,c6a456db-33a0-4e07-8fc2-2c1dba917f10,ALLOW,HTTP
user_1,user_1,UDP,10.19.11.16,80,192.168.128.148,80,42.246.159.224,80,2025-07-14 14:11:33,2025-07-14 14:11:33,2025-07-14 14:20:28,7070,13047,c6a456db-33a0-4e07-8fc2-2c1dba917f10,ALLOW,HTTPS
user_1,user_1,SMTP,172.29.200.114,80,172.17.63.134,443,82.41.174.52,80,2025-07-14 14:10:33,2025-07-14 14:10:33,2025-07-14 14:15:18,766,4358,c6a456db-33a0-4e07-8fc2-2c1dba917f10,ALLOW,HTTP
user_1,user_1,HTTPS,10.39.86.212,80,10.33.36.222,41779,31.213.170.20,443,2025-07-14 08:35:49,2025-07-14 08:35:49,2025-07-14 08:48:58,3462,7956,56f43425-8ab2-4610-b10d-8fe5f6e3b349,ALLOW,HTTPS
user_1,user_1,NonPublicAPI,172.253.217.8,30093,192.168.142.120,80,185.141.114.253,58377,2025-07-14 09:05:04,2025-07-14 09:05:04,2025-07-14 08:49:00,124835,103776,56f43425-8ab2-4610-b10d-8fe5f6e3b349,ALLOW,NonPublicAPI
user_1,user_1,SMTP,192.168.124.219,15350,10.85.107.112,80,218.151.118.31,30029,2025-07-14 08:41:49,2025-07-14 08:41:49,2025-07-14 08:47:05,5776,13138,56f43425-8ab2-4610-b10d-8fe5f6e3b349,ALLOW,HTTP
user_1,user_1,HTTP,172.30.56.27,443,172.24.170.128,41222,31.196.168.57,45114,2025-07-14 08:41:49,2025-07-14 08:41:49,2025-07-14 08:46:40,2335,7347,56f43425-8ab2-4610-b10d-8fe5f6e3b349,ALLOW,FTP
user_2,user_2,SMTP,172.26.152.83,60813,192.168.126.197,22,199.76.224.176,80,2025-07-14 12:36:00,2025-07-14 12:36:00,2025-07-14 12:37:18,3717,14514,fab01a56-6ab8-4d5c-a365-4aafe9f259c1,DENY,HTTPS
user_2,user_2,TCP,10.198.109.37,443,10.31.141.246,443,174.84.1.189,80,2025-07-14 12:39:00,2025-07-14 12:39:00,2025-07-14 12:50:08,14663,2909,fab01a56-6ab8-4d5c-a365-4aafe9f259c1,ALLOW,CustomApp
user_2,user_2,HTTP,20.238.173.44,56480,172.31.131.149,42280,126.231.244.2,80,2025-07-14 04:51:08,2025-07-14 04:51:08,2025-07-14 12:45:07,124844,102366,fab01a56-6ab8-4d5c-a365-4aafe9f259c1,ALLOW,HTTP
user_2,user_2,HTTP,192.168.152.96,32364,10.148.190.166,30470,78.157.108.55,2219,2025-07-14 12:48:00,2025-07-14 12:48:00,2025-07-14 12:48:31,4778,198,fab01a56-6ab8-4d5c-a365-4aafe9f259c1,ALLOW,HTTPS
user_2,user_2,HTTPS,203.112.166.205,80,192.168.179.138,22,182.23.208.250,21316,2025-07-14 10:39:59,2025-07-14 10:39:59,2025-07-14 09:02:45,122758,112217,182c2007-86dc-45ff-beb9-32fc295253a2,ALLOW,HTTPS
user_2,user_2,HTTPS,10.153.96.114,16442,172.22.232.221,63839,183.187.137.56,10976,2025-07-14 08:49:58,2025-07-14 08:49:58,2025-07-14 08:55:50,3017,9193,182c2007-86dc-45ff-beb9-32fc295253a2,ALLOW,HTTP
user_2,user_2,TCP,172.25.197.224,36680,192.168.121.9,59302,121.250.53.181,9936,2025-07-14 08:50:58,2025-07-14 08:50:58,2025-07-14 09:04:54,11822,4381,182c2007-86dc-45ff-beb9-32fc295253a2,ALLOW,SMTP
user_2,user_2,HTTP,192.168.44.33,443,10.15.115.62,38186,156.142.158.32,56077,2025-07-14 08:54:58,2025-07-14 08:54:58,2025-07-14 08:59:56,7087,2495,182c2007-86dc-45ff-beb9-32fc295253a2,ALLOW,HTTP
user_2,user_2,SMTP,10.170.190.201,443,192.168.165.204,80,146.113.213.37,443,2025-07-14 18:41:04,2025-07-14 18:41:04,2025-07-14 18:46:24,596,791,b959ed3f-95bb-48be-94bc-3102addcb373,ALLOW,HTTP
user_2,user_2,HTTP,172.24.101.11,443,172.16.131.170,443,103.222.180.191,53,2025-07-14 18:45:04,2025-07-14 18:45:04,2025-07-14 18:50:01,1840,11545,b959ed3f-95bb-48be-94bc-3102addcb373,ALLOW,HTTPS
user_2,user_2,UDP,172.21.20.13,80,192.168.119.254,63412,47.50.158.166,80,2025-07-14 18:49:04,2025-07-14 18:49:04,2025-07-14 18:51:03,4525,8059,b959ed3f-95bb-48be-94bc-3102addcb373,ALLOW,DNS
user_2,user_2,HTTPS,205.166.107.205,80,192.168.203.64,26546,202.213.173.40,1779,2025-07-14 22:12:22,2025-07-14 22:12:22,2025-07-14 18:58:52,130050,109113,b959ed3f-95bb-48be-94bc-3102addcb373,ALLOW,HTTPS
user_2,user_2,ICMP,192.168.247.192,443,10.221.202.91,80,68.98.52.38,65531,2025-07-14 15:29:36,2025-07-14 15:29:36,2025-07-14 15:34:45,26520,7263,83029ec8-9699-45e8-a6e1-011c4362fc44,ALLOW,HTTPS
user_2,user_2,TCP,192.168.250.242,21908,10.224.114.96,7878,76.137.193.174,16369,2025-07-14 15:31:36,2025-07-14 15:31:36,2025-07-14 15:46:35,3138,6799,83029ec8-9699-45e8-a6e1-011c4362fc44,ALLOW,HTTP
user_2,user_2,UDP,172.31.224.126,57276,172.17.198.47,15117,177.232.70.240,3801,2025-07-14 15:37:36,2025-07-14 15:37:36,2025-07-14 15:49:25,11658,12704,83029ec8-9699-45e8-a6e1-011c4362fc44,ALLOW,CustomApp
user_2,user_2,HTTPS,138.66.192.160,34286,172.17.3.39,32393,137.4.8.251,8042,2025-07-14 23:14:35,2025-07-14 23:14:35,2025-07-14 15:40:10,141920,131459,83029ec8-9699-45e8-a6e1-011c4362fc44,ALLOW,HTTPS
user_2,user_2,HTTP,185.173.12.185,443,10.131.193.128,8660,40.218.157.92,55258,2025-07-14 16:36:42,2025-07-14 16:36:42,2025-07-14 10:57:13,118555,129351,e5c7569e-3016-4f53-a791-e51002dbb617,ALLOW,HTTP
user_2,user_2,HTTPS,172.28.189.185,23572,10.106.119.80,80,57.131.136.49,443,2025-07-14 10:57:58,2025-07-14 10:57:58,2025-07-14 11:08:04,783,6502,e5c7569e-3016-4f53-a791-e51002dbb617,ALLOW,SSH
user_2,user_2,SMTP,192.168.216.79,443,172.21.85.239,38967,61.215.56.100,80,2025-07-14 10:58:58,2025-07-14 10:58:58,2025-07-14 11:06:31,-9605,6686,e5c7569e-3016-4f53-a791-e51002dbb617,ALLOW,FTP
user_2,user_2,HTTPS,172.16.10.108,60334,192.168.243.2,53,60.137.235.109,13157,2025-07-14 11:06:58,2025-07-14 11:06:58,2025-07-14 11:21:00,10342,3465,e5c7569e-3016-4f53-a791-e51002dbb617,ALLOW,HTTP
user_2,user_2,HTTPS,10.120.226.53,62906,192.168.154.10,443,39.88.226.142,53,2025-07-14 16:46:07,2025-07-14 16:46:07,2025-07-14 16:49:44,8110,6750,2d177c6b-ad76-4fb1-92f1-51472112e1de,ALLOW,CustomApp
user_2,user_2,FTP,192.168.109.170,53192,192.168.216.30,443,16.136.57.182,80,2025-07-14 16:49:07,2025-07-14 16:49:07,2025-07-14 17:02:14,-2544,-2176,2d177c6b-ad76-4fb1-92f1-51472112e1de,ALLOW,CustomApp
user_2,user_2,HTTP,192.168.223.229,3398,10.236.120.73,14849,98.195.116.102,58354,2025-07-14 16:50:07,2025-07-14 16:50:07,2025-07-14 17:02:20,2312,944,2d177c6b-ad76-4fb1-92f1-51472112e1de,ALLOW,HTTP
user_2,user_2,HTTP,171.181.77.118,25,192.168.236.96,3100,63.221.36.210,443,2025-07-14 00:31:39,2025-07-14 00:31:39,2025-07-14 16:54:01,122568,111579,2d177c6b-ad76-4fb1-92f1-51472112e1de,ALLOW,HTTP
user_3,user_3,UDP,172.23.134.208,80,10.95.24.56,443,22.7.144.161,443,2025-07-14 08:46:45,2025-07-14 08:46:45,2025-07-14 08:48:43,16083,-6700,afddd989-07c3-4c8a-b7b2-071ccf79535e,ALLOW,SMTP
user_3,user_3,NonPublicAPI,146.217.111.163,53,172.28.9.213,10643,99.160.69.22,443,2025-07-14 08:26:26,2025-07-14 08:26:26,2025-07-14 08:58:19,136269,96882,afddd989-07c3-4c8a-b7b2-071ccf79535e,ALLOW,NonPublicAPI
user_3,user_3,HTTP,192.168.151.196,80,172.31.6.53,80,106.224.231.94,25,2025-07-14 08:52:45,2025-07-14 08:52:45,2025-07-14 09:04:53,10033,1138,afddd989-07c3-4c8a-b7b2-071ccf79535e,ALLOW,HTTP
user_3,user_3,HTTPS,192.168.13.181,16119,10.26.222.54,443,86.60.113.161,80,2025-07-14 08:58:45,2025-07-14 08:58:45,2025-07-14 09:13:11,463,9333,afddd989-07c3-4c8a-b7b2-071ccf79535e,ALLOW,HTTP
user_3,user_3,HTTP,120.23.167.122,63011,172.18.161.62,36799,201.249.204.214,53,2025-07-14 03:33:52,2025-07-14 03:33:52,2025-07-14 13:22:41,117698,92707,9f211bff-aa17-4af0-886f-0fb92a88a1cd,ALLOW,HTTP
user_3,user_3,ICMP,172.17.228.118,80,10.205.248.47,80,151.227.166.248,32153,2025-07-14 13:19:01,2025-07-14 13:19:01,2025-07-14 13:26:23,5029,-5313,9f211bff-aa17-4af0-886f-0fb92a88a1cd,ALLOW,HTTPS
user_3,user_3,UDP,172.25.94.122,80,172.30.78.180,22,181.28.130.27,443,2025-07-14 13:26:01,2025-07-14 13:26:01,2025-07-14 13:36:34,3325,6006,9f211bff-aa17-4af0-886f-0fb92a88a1cd,DENY,HTTP
user_3,user_3,TCP,172.26.31.194,80,10.192.89.246,443,50.93.5.160,80,2025-07-14 13:30:01,2025-07-14 13:30:01,2025-07-14 13:39:18,5588,9282,9f211bff-aa17-4af0-886f-0fb92a88a1cd,ALLOW,HTTP
user_3,user_3,UDP,10.171.216.205,25,192.168.97.43,443,58.209.99.80,48380,2025-07-14 11:21:05,2025-07-14 11:21:05,2025-07-14 11:36:02,1509,-1760,2d5ba570-4976-4110-8aed-3db56ef364e4,ALLOW,FTP
user_3,user_3,NonPublicAPI,212.75.186.3,80,10.27.38.208,80,192.75.45.191,64839,2025-07-14 22:42:40,2025-07-14 22:42:40,2025-07-14 11:27:01,141905,127552,2d5ba570-4976-4110-8aed-3db56ef364e4,ALLOW,NonPublicAPI
user_3,user_3,HTTPS,192.168.212.133,80,10.144.199.128,45782,146.223.185.157,443,2025-07-14 11:23:05,2025-07-14 11:23:05,2025-07-14 11:24:18,2770,6510,2d5ba570-4976-4110-8aed-3db56ef364e4,ALLOW,HTTPS
user_3,user_3,TCP,192.168.24.109,443,10.71.253.42,42090,96.61.132.40,80,2025-07-14 11:27:05,2025-07-14 11:27:05,2025-07-14 11:33:59,7491,13567,2d5ba570-4976-4110-8aed-3db56ef364e4,ALLOW,HTTPS
user_3,user_3,HTTP,106.171.54.30,61795,10.153.226.34,443,39.194.26.249,80,2025-07-14 16:51:58,2025-07-14 16:51:58,2025-07-14 14:11:41,117894,114082,9e2529d6-19e7-46d5-9b61-e694a004c623,ALLOW,HTTP
user_3,user_3,HTTPS,192.168.207.191,53,172.24.152.235,443,23.35.223.179,443,2025-07-14 14:13:57,2025-07-14 14:13:57,2025-07-14 14:22:06,873,2565,9e2529d6-19e7-46d5-9b61-e694a004c623,ALLOW,HTTP
user_3,user_3,HTTPS,10.204.211.70,80,10.247.136.36,80,209.166.216.33,15203,2025-07-14 14:12:57,2025-07-14 14:12:57,2025-07-14 14:21:05,13662,3792,9e2529d6-19e7-46d5-9b61-e694a004c623,ALLOW,SSH
user_3,user_3,ICMP,10.131.150.247,53,10.68.104.32,16016,93.176.136.252,61672,2025-07-14 14:19:57,2025-07-14 14:19:57,2025-07-14 14:24:32,2715,-17002,9e2529d6-19e7-46d5-9b61-e694a004c623,ALLOW,HTTPS
user_3,user_3,HTTPS,10.55.59.88,36348,172.28.27.157,56358,30.115.173.125,36006,2025-07-14 18:15:31,2025-07-14 18:15:31,2025-07-14 18:29:04,5666,5184,b675c102-29c8-471b-a0d1-26c27d071658,ALLOW,SMTP
user_3,user_3,UDP,192.168.133.63,42542,192.168.169.240,443,36.154.146.86,443,2025-07-14 18:16:31,2025-07-14 18:16:31,2025-07-14 18:18:31,4138,4062,b675c102-29c8-471b-a0d1-26c27d071658,ALLOW,DNS
user_3,user_3,HTTPS,88.249.137.97,443,10.241.203.139,443,126.199.249.51,80,2025-07-14 03:57:00,2025-07-14 03:57:00,2025-07-14 18:26:58,101949,91598,b675c102-29c8-471b-a0d1-26c27d071658,ALLOW,HTTPS
user_3,user_3,TCP,192.168.251.23,80,192.168.141.172,53,21.164.32.94,25,2025-07-14 18:18:31,2025-07-14 18:18:31,2025-07-14 18:30:45,14187,13634,b675c102-29c8-471b-a0d1-26c27d071658,DENY,HTTP
user_3,user_3,HTTP,192.168.163.222,44158,172.21.253.35,49160,196.76.62.188,22,2025-07-14 13:42:59,2025-07-14 13:42:59,2025-07-14 13:49:57,12992,13981,df622799-48fd-448e-b228-6311d370e25b,ALLOW,HTTPS
user_3,user_3,TCP,172.24.238.206,443,10.9.246.94,43677,124.253.61.74,22,2025-07-14 13:46:59,2025-07-14 13:46:59,2025-07-14 13:48:38,11296,11388,df622799-48fd-448e-b228-6311d370e25b,ALLOW,DNS
user_3,user_3,UDP,192.168.190.223,6524,172.16.57.10,22,72.108.145.53,61912,2025-07-14 13:46:59,2025-07-14 13:46:59,2025-07-14 13:53:22,14846,-427,df622799-48fd-448e-b228-6311d370e25b,ALLOW,DNS
user_3,user_3,HTTPS,203.140.23.42,33562,192.168.119.224,443,159.79.250.77,80,2025-07-14 03:39:18,2025-07-14 03:39:18,2025-07-14 14:04:15,102332,97878,df622799-48fd-448e-b228-6311d370e25b,ALLOW,HTTPS
user_4,user_4,UDP,172.29.146.131,443,10.73.211.244,52453,131.137.142.121,443,2025-07-14 15:10:41,2025-07-14 15:10:41,2025-07-14 15:14:43,7691,12872,c65e599c-a2e8-41c0-9d60-2eb1ec614ce6,ALLOW,HTTPS
user_4,user_4,UDP,10.2.144.252,80,172.16.250.12,443,40.96.153.122,38411,2025-07-14 15:11:41,2025-07-14 15:11:41,2025-07-14 15:25:23,6117,578,c65e599c-a2e8-41c0-9d60-2eb1ec614ce6,ALLOW,HTTP
user_4,user_4,HTTP,208.244.245.79,443,192.168.158.110,58031,63.191.73.207,1789,2025-07-14 15:26:14,2025-07-14 15:26:14,2025-07-14 15:33:17,121736,113190,c65e599c-a2e8-41c0-9d60-2eb1ec614ce6,ALLOW,HTTP
user_4,user_4,HTTP,10.19.43.230,22,192.168.165.93,80,212.165.211.226,54910,2025-07-14 15:19:41,2025-07-14 15:19:41,2025-07-14 15:23:41,2640,10565,c65e599c-a2e8-41c0-9d60-2eb1ec614ce6,DENY,SSH
user_4,user_4,UDP,10.3.54.82,60581,192.168.84.134,443,56.122.175.220,443,2025-07-14 10:37:07,2025-07-14 10:37:07,2025-07-14 10:37:52,-582,24554,f6748d7a-f304-41f0-998d-e77d0917ce72,ALLOW,FTP
user_4,user_4,HTTP,118.154.143.60,443,10.229.44.98,25,113.51.219.203,52467,2025-07-14 12:33:48,2025-07-14 12:33:48,2025-07-14 10:46:29,132485,121555,f6748d7a-f304-41f0-998d-e77d0917ce72,ALLOW,HTTP
user_4,user_4,UDP,172.25.94.253,53,192.168.29.91,25,127.111.22.141,34016,2025-07-14 10:45:07,2025-07-14 10:45:07,2025-07-14 10:47:18,7381,145,f6748d7a-f304-41f0-998d-e77d0917ce72,ALLOW,HTTP
user_4,user_4,HTTP,172.17.216.128,22,10.236.217.7,80,110.12.58.34,443,2025-07-14 10:43:07,2025-07-14 10:43:07,2025-07-14 10:46:02,9873,7340,f6748d7a-f304-41f0-998d-e77d0917ce72,ALLOW,SSH
user_4,user_4,UDP,192.168.64.208,44224,192.168.157.73,42873,50.85.141.208,443,2025-07-14 13:12:30,2025-07-14 13:12:30,2025-07-14 13:23:35,-253,-1649,b25f28e3-00c1-4dd7-ba01-1a02c2292813,ALLOW,CustomApp
user_4,user_4,UDP,192.168.182.60,25972,172.26.235.56,17692,110.62.122.75,443,2025-07-14 13:16:30,2025-07-14 13:16:30,2025-07-14 13:21:17,5777,11412,b25f28e3-00c1-4dd7-ba01-1a02c2292813,ALLOW,DNS
user_4,user_4,HTTPS,172.25.48.43,443,10.136.198.153,25,72.186.20.47,25,2025-07-14 13:14:30,2025-07-14 13:14:30,2025-07-14 13:25:40,11065,13428,b25f28e3-00c1-4dd7-ba01-1a02c2292813,ALLOW,HTTP
user_4,user_4,NonPublicAPI,51.28.41.246,53,172.16.125.119,18654,123.95.143.3,53,2025-07-14 11:39:24,2025-07-14 11:39:24,2025-07-14 13:28:33,118000,100458,b25f28e3-00c1-4dd7-ba01-1a02c2292813,ALLOW,NonPublicAPI
user_4,user_4,ICMP,192.168.170.93,443,172.21.19.118,443,63.35.206.217,25,2025-07-14 11:04:07,2025-07-14 11:04:07,2025-07-14 11:11:10,-12197,15033,ab1a1549-07c4-4176-b341-d4df1dd1a5d8,ALLOW,HTTPS
user_4,user_4,NonPublicAPI,50.17.166.140,443,192.168.182.58,443,158.168.58.235,25,2025-07-14 16:59:45,2025-07-14 16:59:45,2025-07-14 11:11:28,124076,90630,ab1a1549-07c4-4176-b341-d4df1dd1a5d8,ALLOW,NonPublicAPI
user_4,user_4,HTTP,10.159.36.12,80,192.168.172.189,21985,95.7.116.172,443,2025-07-14 11:10:07,2025-07-14 11:10:07,2025-07-14 11:14:38,12226,11263,ab1a1549-07c4-4176-b341-d4df1dd1a5d8,ALLOW,HTTPS
user_4,user_4,UDP,10.194.25.167,10496,172.22.30.66,25,54.146.148.70,80,2025-07-14 11:10:07,2025-07-14 11:10:07,2025-07-14 11:22:22,9757,3964,ab1a1549-07c4-4176-b341-d4df1dd1a5d8,ALLOW,HTTP
user_4,user_4,TCP,172.27.56.98,443,192.168.109.201,32757,38.207.180.169,443,2025-07-14 13:32:12,2025-07-14 13:32:12,2025-07-14 13:35:13,8742,4312,e64ca018-9ca0-4028-8403-66bedcfcb441,ALLOW,DNS
user_4,user_4,UDP,192.168.68.124,49510,172.29.85.21,443,97.234.57.227,53,2025-07-14 13:36:12,2025-07-14 13:36:12,2025-07-14 13:44:13,519,2555,e64ca018-9ca0-4028-8403-66bedcfcb441,ALLOW,HTTP
user_4,user_4,UDP,10.210.53.21,443,172.20.253.224,80,198.207.170.153,56873,2025-07-14 13:38:12,2025-07-14 13:38:12,2025-07-14 13:53:01,10538,6270,e64ca018-9ca0-4028-8403-66bedcfcb441,ALLOW,HTTPS
user_4,user_4,NonPublicAPI,207.108.3.248,80,10.81.57.237,26461,134.225.193.131,443,2025-07-14 12:03:52,2025-07-14 12:03:52,2025-07-14 13:52:04,115364,96463,e64ca018-9ca0-4028-8403-66bedcfcb441,ALLOW,NonPublicAPI
user_4,user_4,SMTP,10.131.235.212,60267,172.22.91.177,44999,194.15.16.7,58529,2025-07-14 09:56:28,2025-07-14 09:56:28,2025-07-14 10:09:50,-3257,4653,936cdc57-22bc-4a7b-9e3f-101abba0fb2e,ALLOW,SMTP
user_4,user_4,HTTPS,172.19.65.40,443,10.201.10.133,443,192.224.70.133,80,2025-07-14 10:00:28,2025-07-14 10:00:28,2025-07-14 10:13:14,2000,3108,936cdc57-22bc-4a7b-9e3f-101abba0fb2e,ALLOW,HTTP
user_4,user_4,HTTPS,10.166.213.245,443,172.20.188.41,80,217.109.56.162,443,2025-07-14 10:00:28,2025-07-14 10:00:28,2025-07-14 10:08:40,5814,1903,936cdc57-22bc-4a7b-9e3f-101abba0fb2e,ALLOW,SSH
user_4,user_4,HTTP,149.151.177.166,22,192.168.86.46,443,129.184.117.180,443,2025-07-14 03:03:19,2025-07-14 03:03:19,2025-07-14 10:13:23,135442,100541,936cdc57-22bc-4a7b-9e3f-101abba0fb2e,ALLOW,HTTP
user_5,user_5,HTTPS,40.63.168.217,29276,192.168.78.212,22,135.238.175.191,80,2025-07-14 02:00:22,2025-07-14 02:00:22,2025-07-14 15:07:20,118195,106794,18d57de4-6029-43fe-b035-84f3cf9f48e5,ALLOW,HTTPS
user_5,user_5,TCP,192.168.20.189,22,192.168.66.125,22,182.4.41.131,80,2025-07-14 15:00:58,2025-07-14 15:00:58,2025-07-14 15:12:05,4137,9711,18d57de4-6029-43fe-b035-84f3cf9f48e5,ALLOW,HTTP
user_5,user_5,SMTP,192.168.221.245,80,172.22.62.152,443,217.201.165.27,22,2025-07-14 15:05:58,2025-07-14 15:05:58,2025-07-14 15:13:29,15400,12591,18d57de4-6029-43fe-b035-84f3cf9f48e5,ALLOW,HTTPS
user_5,user_5,HTTPS,172.27.22.1,443,192.168.160.76,443,64.79.214.16,53,2025-07-14 15:03:58,2025-07-14 15:03:58,2025-07-14 15:17:18,1432,12054,18d57de4-6029-43fe-b035-84f3cf9f48e5,ALLOW,HTTP
user_5,user_5,SMTP,10.33.180.176,80,192.168.219.217,443,145.43.47.132,52244,2025-07-14 11:28:04,2025-07-14 11:28:04,2025-07-14 11:40:38,23571,-9142,4a9097ac-a389-471d-8371-2988d35c632c,ALLOW,HTTP
user_5,user_5,HTTP,89.59.158.183,36416,10.130.148.137,80,24.36.221.239,53,2025-07-14 13:58:10,2025-07-14 13:58:10,2025-07-14 11:34:35,142182,115994,4a9097ac-a389-471d-8371-2988d35c632c,ALLOW,HTTP
user_5,user_5,UDP,172.23.165.66,53,10.207.145.72,25,49.9.178.183,7465,2025-07-14 11:34:04,2025-07-14 11:34:04,2025-07-14 11:35:05,5689,8945,4a9097ac-a389-471d-8371-2988d35c632c,ALLOW,DNS
user_5,user_5,UDP,172.17.251.130,80,172.29.124.99,80,140.143.44.155,443,2025-07-14 11:40:04,2025-07-14 11:40:04,2025-07-14 11:47:25,1666,11467,4a9097ac-a389-471d-8371-2988d35c632c,ALLOW,FTP
user_5,user_5,ICMP,192.168.167.118,25,10.47.175.215,53,215.221.28.100,1058,2025-07-14 11:06:53,2025-07-14 11:06:53,2025-07-14 11:11:54,5479,16923,f466280c-0832-4bd3-840f-a6dce8cc344f,ALLOW,HTTP
user_5,user_5,HTTPS,10.195.152.54,53,172.30.104.165,64090,101.79.179.28,443,2025-07-14 11:09:53,2025-07-14 11:09:53,2025-07-14 11:11:04,592,11031,f466280c-0832-4bd3-840f-a6dce8cc344f,ALLOW,CustomApp
user_5,user_5,HTTPS,143.183.203.38,8950,192.168.74.165,61739,146.4.54.223,20087,2025-07-14 18:04:31,2025-07-14 18:04:31,2025-07-14 11:25:28,96187,93671,f466280c-0832-4bd3-840f-a6dce8cc344f,ALLOW,HTTPS
user_5,user_5,UDP,192.168.126.163,443,172.21.133.180,51002,174.81.199.98,40693,2025-07-14 11:09:53,2025-07-14 11:09:53,2025-07-14 11:18:23,2324,10206,f466280c-0832-4bd3-840f-a6dce8cc344f,ALLOW,HTTP
